STOP_ID,STOP_NAME,MODE,LONGITUDE,LATITUDE
16250,Inglewood/Grant St ,REGIONAL BUS,143.869753,-36.575628
16251,Jacka Park/Chapel St,REGIONAL BUS,143.613605,-36.418152
16253,Travellers Rest/John Curtin Dr,REGIONAL BUS,143.350877,-36.268352
16258,Post Office/Calder Hwy,REGIONAL BUS,143.225765,-36.076936
16264,Newsagency/Best St,REGIONAL BUS,142.849806,-35.504270
16265,McCelland St/Dillon St,REGIONAL BUS,143.267440,-35.469785
16266,McGregor's Garage/Donald - Swan Hill Rd,REGIONAL BUS,143.375329,-35.670773
16297,Traralgon Plaza SC/Franklin St,REGIONAL BUS,146.538424,-38.194426
16301,Gippsland Shopping Centre/Cunninghame St,REGIONAL BUS,147.063511,-38.107226
16302,Sale Station/Pettit Dr ,REGIONAL BUS,147.054691,-38.103229
16304,Memorial Park/Princes Hwy,REGIONAL BUS,147.080033,-37.965093
16554,Lookout Rd/Princes Hwy,REGIONAL BUS,147.961894,-37.879244
16556,Post Office/Princes Hwy,REGIONAL BUS,147.982369,-37.881544
16936,Boort/Godfrey St ,REGIONAL BUS,143.727112,-36.116611
16937,Mysia/Boort-Wedderburn Rd ,REGIONAL BUS,143.755346,-36.229948
16938,Boort/Godfrey St ,REGIONAL BUS,143.727120,-36.116683
16955,Kerang Station/Boundary St ,REGIONAL BUS,143.924336,-35.733137
16957,Murray Valley Hwy,REGIONAL BUS,143.636530,-35.463816
16958,Murray Valley Hwy,REGIONAL BUS,143.636410,-35.464046
16961,McAlpine Rd/Murray Valley Hwy,REGIONAL BUS,143.377303,-35.176046
16962,McAlpine Rd/Murray Valley Hwy,REGIONAL BUS,143.377480,-35.175511
16969,Robinvale Railway Station/Bromley Rd,REGIONAL BUS,142.770342,-34.584790
17124,General Store/Murray St,REGIONAL BUS,143.310582,-35.054221
17125,General Store/Murray St,REGIONAL BUS,143.310697,-35.053846
17134,Raglan St/Albert St,REGIONAL BUS,143.894319,-37.424507
17135,Raglan St/Albert St,REGIONAL BUS,143.894453,-37.424547
17136,Talbot Town Hall/Ballarat St,REGIONAL BUS,143.702095,-37.170269
17137,Talbot Town Hall/Ballarat St,REGIONAL BUS,143.702377,-37.170277
17138,Carisbrook General Store/Green St,REGIONAL BUS,143.813088,-37.049055
17139,Carisbrook General Store/Green St,REGIONAL BUS,143.813092,-37.048974
17144,Market St/Harmony Way ,REGIONAL BUS,144.260982,-36.996828
17145,Market St/Harmony Way ,REGIONAL BUS,144.260630,-36.996928
17148,CFA/Bridport St,REGIONAL BUS,144.141038,-37.342710
17149,Hotel/Midland Hwy,REGIONAL BUS,144.042237,-37.367221
17150,Hotel/Midland Hwy,REGIONAL BUS,144.041885,-37.367275
17151,Antique Shop/Midland Hwy,REGIONAL BUS,143.994503,-37.401771
17152,Antique Shop/Midland Hwy,REGIONAL BUS,143.994394,-37.401678
17231,Euroa Station/Railway St,REGIONAL BUS,145.568420,-36.749396
17247,Blanche St/Foord St,REGIONAL BUS,146.394062,-36.010276
17248,Blanche St/Foord St,REGIONAL BUS,146.393873,-36.010284
17253,Wangaratta Station/Norton St ,REGIONAL BUS,146.317173,-36.355066
17347,King St/Commercial St,REGIONAL BUS,145.822823,-38.430881
17351,Leongatha Railway Station/Long St,REGIONAL BUS,145.947889,-38.477139
17365,Memorial Park/Grant St,REGIONAL BUS,146.674758,-38.564846
17368,Pier Rd/Bass Hwy,REGIONAL BUS,145.530388,-38.406959
17369,Grantville-Glen Alvie Rd/Bass Hwy,REGIONAL BUS,145.530054,-38.408153
17372,Corinella Public Hall/Smythe St,REGIONAL BUS,145.433326,-38.414470
17379,Forrest Ave/Phillip Island Rd,REGIONAL BUS,145.357792,-38.514903
